Nman,lman,lmanS,lamml,year
323516.83652456285,103.57905443549427,103.57905443549427,103.99268222021695,2019
347557.0106471822,103.20749017188413,106.90134242664325,103.5781766417961,2020
357401.12242195447,102.83237324329662,109.9291874462604,103.1597078204168,2021
366679.7196316262,102.59612984615009,112.78309189118305,102.89616200728909,2022
420010.2476923255,114.54417171319871,129.18645843929139,116.22502726730701,2023
446433.26212581043,106.2910404159569,137.31363075165055,107.01808974078608,2024
455840.9403735918,102.1072977857842,140.20723785206,102.35083610871126,2025
337983.20714865904,77.17895391514912,108.21047948754489,74.54154816811212,2019
428004.83852659975,102.61079796514332,111.03563648407753,102.91252530630109,2020
439261.70868911047,102.63008011808053,113.95596268322942,102.93403587860098,2021
457412.732200194,104.13216612147953,118.66481236663168,104.60971647723366,2022
586054.8979385693,128.12387078068326,152.03795085876342,131.37411873820957,2023
623458.2475098665,106.38222625608324,161.74135687768236,107.11981383835706,2024
642674.3128230068,103.08217356814038,166.7265062281179,103.43837732198037,2025
296165.2600879219,65.0438364716556,108.44531606592169,61.003987192124924,2020
293685.3650075489,99.16266510135699,107.53726558855801,99.0658951344736,2021
298449.78577044077,101.62228743089375,109.281829131728,101.80977358633449,2022
320194.61769509723,107.28592646448807,117.24402284131321,108.12795378692033,2023
340142.66397100914,106.22997551286366,124.5482967546233,106.9499676271793,2024
345181.8895794984,101.48150354020828,126.39348418031217,101.6527194405081,2025
335790.91457746964,85.0518277280573,107.49996842452848,83.32428222855928,2019
