,ltrd,lelc,lwtr,lind,Ntrd,Nelc,Nwtr,Nind,Nwhl,Dtrd,Delc,Dwtr,Dwhl,Dind
0,104.79847083668884,101.04367575522389,101.04367575522389,104.21409084845317,26306.075990757665,1303.5486003539293,18716.106220633,6495977.577171189,2429.567236159447,113.85059580013062,105.65801009491133,107.03720525415714,104.03349919344137,98.63633693004982
1,103.62769959144873,100.23792870841564,100.23792870841564,96.19034266941276,29320.410446335645,1380.5805122105096,20080.86175791515,6818521.129340485,2865.666274922968,107.5568606834822,105.65801009491133,107.03720525415714,113.07800745804894,109.12247349182304
2,103.20810533698949,100.77760857053086,100.77760857053086,99.79016816826555,32409.49683084649,1470.0368257203286,21661.13235002497,7032015.507481042,3215.5987881403667,107.09974516787216,105.65801009491133,107.03720525415714,108.09736397519036,103.34795195911184
3,102.94172902038005,100.71456622986032,100.71456622986032,99.64942919649255,35351.02450988635,1550.3488551595804,23095.27444587012,7236517.041368385,3566.1146862778814,105.95909923798108,104.71500841242612,105.86433771179762,107.16200706540496,103.27018475964952
4,116.47643503960731,104.1461559228108,104.1461559228108,100.05890935866515,44104.42687254217,1690.758616775839,25463.380333461075,8409167.960506072,5041.011211305529,107.11298157576972,104.71500841242612,105.86433771179762,118.25922372949563,116.13621638799137
5,107.1478260970693,101.64538868177546,101.64538868177546,99.15850965328887,50302.72625955154,1799.609272873228,27400.18043530951,8999480.334033372,6078.179878131663,106.4451739800998,104.71500841242612,105.86433771179762,111.17952958031695,107.92807090435232
6,102.3996128189143,100.53594823522332,100.53594823522332,98.74073531128319,54615.69819656756,1894.5607369609047,29162.48215904534,9212211.231902536,6719.548275721115,106.02972920631342,104.71500841242612,105.86433771179762,107.50623820197222,103.66928381525918
7,74.02147138750571,93.40220793849785,93.40220793849785,100.64953324189051,42022.618124933564,1869.6835307044971,29155.224498830794,6623506.459759857,3754.2535902453556,103.94602904017647,105.65801009491133,107.03720525415714,80.57196622185754,71.43520763800338
8,102.95247197156216,101.15623911849782,101.15623911849782,81.7975464241442,47821.42273710649,1991.5342732698175,31436.320047154117,8311219.435512882,5865.553833592807,110.53571051279465,105.29966945556696,106.59151558806052,150.9417335081825,153.40393775527738
9,102.99498945541475,100.72991414732743,100.72991414732743,98.89051189949927,52644.47846120535,2112.3858831990583,33753.03290035366,8637794.914999897,6636.117625498795,106.88437877523518,105.29966945556696,106.59151558806052,109.27458675241823,105.09535333724462
10,104.70690074503254,101.16072766595529,101.16072766595529,98.87067107185699,58344.78567933526,2230.002779008059,35995.0009711204,9036679.267420113,7636.671311758399,105.84586985219079,104.35666777308172,105.41864804570099,109.02517935654691,105.81287097438663
11,132.04519323745842,108.01766541961086,108.01766541961086,99.66667238385125,83924.34486040851,2513.7402207104005,40987.782080613084,11865214.115148965,13821.93250069398,108.93396572854505,104.35666777308172,105.41864804570099,131.38762378838464,131.73972507268292
12,107.32564408638267,101.55617965652783,101.55617965652783,98.10130212028857,95905.05219556007,2664.078099714214,43881.17175547879,12709977.872635404,16798.590042094387,106.47558206149502,104.35666777308172,105.41864804570099,111.94053305852349,109.19291067919016
13,103.54804513603531,100.81792442551034,100.81792442551034,97.79640583944185,105285.74133172039,2802.8826014727933,46637.301164213335,13148288.55601964,19068.386733996904,106.01960187527223,104.35666777308172,105.41864804570099,108.996402131018,105.77950687012172
14,59.74840155259843,89.90449450117299,89.90449450117299,128.94084264878677,62514.7644438625,2699.0894273888034,45636.99060542388,5895573.805517934,5087.9410699905,99.37719827242003,107.11023268593858,108.8434212693908,50.28888222084033,34.774936838106406
15,99.05897368401537,100.69282382022173,100.69282382022173,100.43700253938145,67109.32880456017,2911.0305094135415,50017.00735903538,5723488.058964569,5215.330759165399,108.36935089120585,107.11023268593858,108.8434212693908,103.66490105472518,96.65870168645232
16,101.83532779127508,100.48169796504386,100.48169796504386,100.60652699668262,73502.8568281143,3105.4476524772317,54113.00042242533,5830386.879929104,5689.6039001589725,107.55308158547703,106.16723100345335,107.67055372703128,106.75980658115574,101.25359120303526
17,108.20746793374998,102.06633872004289,102.06633872004289,100.79210256060377,85868.06387401145,3365.094304782159,59467.69397440355,6305273.6864547115,6993.576634960364,107.96182491259206,106.16723100345335,107.67055372703128,111.97076933773863,107.29514321285183
18,107.0254811765058,101.6970663512487,101.6970663512487,100.3654880882822,99187.0130663701,3633.2573022504425,65115.81332089158,6745061.173625381,8439.194563195533,107.92845304912797,106.16723100345335,107.67055372703128,111.35856528472117,106.58535832286137
19,101.68590088896536,100.36079644369933,100.36079644369933,99.83156970144694,108517.91851689196,3871.245777704152,70363.51316193516,6860853.2209047815,9237.454425008016,107.593467054172,106.16723100345335,107.67055372703128,107.30725991164873,101.8883045801252
20,83.09349642193796,95.67274506951762,95.67274506951762,87.10623578134948,96896.35764858854,3913.2843573449695,72056.05998436127,6495065.397561758,8317.073921350502,107.45805202634043,105.65801009491133,107.03720525415714,112.69777308753457,108.68163255077421
